circuitId,circuitRef,name,location,country,n_corners,corner_score,elev_change,change_score,max_alt,alt_score,length,length_score,lat,lng,max_vel,max_vel_score,temperature,temp_score,score,url
24,algarve,Algarve International Circuit,Portimao,Portugal,16,1.507899327,25,1.620925717,900,2.617806791,4.68,1.278475831,37.232,-8.632,331.1,1.769409378,19.94900303,1.17,16.99913337,https://en.wikipedia.org/wiki/Algarve_International_Circuit
25,mugello,Autodromo Internazionale del Mugello,Florence,Italy,15,1.348812247,41,2.13327846,292,1.92492087,5.245,1.692239223,43.9975,11.371944,322.1,1.352599473,30.16988636,2.63,33.30256256,https://en.wikipedia.org/wiki/Mugello_Circuit
26,jeddah,Jeddah Corniche Circuit,Jeddah,Saudi Arabia,27,2.715512604,25,1.620925717,12,1.043707206,6.174,2.469319218,21.631944,39.104444,330,1.710866996,26.77611627,2.25,43.74732354,https://en.wikipedia.org/wiki/Jeddah_Corniche_Circuit
27,miami,Miami International Autodrome,Miami Gardens,USA,19,2.118754531,25,1.620925717,1.8,1.0065581,5.412,1.846618322,25.958056,-80.238889,320,1.281331159,28.86735165,2.53,20.69661026,https://en.wikipedia.org/wiki/Miami_International_Autodrome
28,lusail,Lusail International Circuit,Lusail,Qatar,16,1.507899327,6.7,1.205098499,13,1.047346899,5.419,1.853219235,25.49,51.454167,342.6,2.356705998,28.93901233,2.54,21.088703,
29,yas_marina,Yas Marina Circuit,Abu Dhabi,UAE,21,2.458484916,10.7,1.271652419,20,1.072805021,5.281,1.724830591,24.4672,54.6031,339,2.192587597,26.74511031,2.25,28.5248847,http://en.wikipedia.org/wiki/Yas_Marina_Circuit
30,nurburgring,NÃ_rburgring,NÃ_rburg,Germany,15,1.348812247,60,2.567312149,539,2.362394968,5.148,1.607175542,50.3356,6.9475,340,2.241161411,9.5,1.00,29.46748221,http://en.wikipedia.org/wiki/N%C3%BCrburgring
31,imola,Autodromo Enzo e Dino Ferrari,Imola,Italy,19,2.118754531,34,1.907806876,47,1.17044159,4.909,1.420410084,44.3439,11.7167,297.9,1.008421889,13.85029503,1.00,6.802498366,http://en.wikipedia.org/wiki/Autodromo_Enzo_e_Dino_Ferrari
,,,,,16.75,,25.91677419,,274.4677419,,5.196419355,,,,328.8129032,,23.54820906,,,
,,,,,11.04464286,,465.9058606,,0.003643415,,0.562237018,,,,166.856773,,13.2045641,,,
,,,,,3.32334814,,21.58485257,,,,0.749824658,,,,12.91730517,,3.633808484,,,
