circuitId,circuitRef,name,location,country,n_corners,elev_change,max_alt,length,lat,lng,alt,url
39,zandvoort,Circuit Park Zandvoort,Zandvoort,Netherlands,14,,,4.259,52.3888,4.54092,,http://en.wikipedia.org/wiki/Circuit_Zandvoort
40,zolder,Zolder,Heusden-Zolder,Belgium,10,,,4.262,50.9894,5.25694,,http://en.wikipedia.org/wiki/Zolder
41,dijon,Dijon-Prenois,Dijon,France,12,,,3.886,47.3625,4.89913,,http://en.wikipedia.org/wiki/Dijon-Prenois
42,dallas,Fair Park,Dallas,USA,14,,,3.901,32.7774,-96.7587,,http://en.wikipedia.org/wiki/Fair_Park
43,long_beach,Long Beach,California,USA,18,,,3.275,33.7651,-118.189,,"http://en.wikipedia.org/wiki/Long_Beach,_California"
44,las_vegas,Las Vegas Street Circuit,Nevada,USA,17,,,6.201,36.1162,-115.174,,"http://en.wikipedia.org/wiki/Las_Vegas,_Nevada"
45,jarama,Jarama,Madrid,Spain,12,,,3.314,40.6171,-3.58558,,http://en.wikipedia.org/wiki/Circuito_Permanente_Del_Jarama
46,watkins_glen,Watkins Glen,New York State,USA,11,,,5.43,42.3369,-76.9272,,http://en.wikipedia.org/wiki/Watkins_Glen_International
47,anderstorp,Scandinavian Raceway,Anderstorp,Sweden,8,,,4.031,57.2653,13.6042,,http://en.wikipedia.org/wiki/Scandinavian_Raceway
48,mosport,Mosport International Raceway,Ontario,Canada,10,,,3.957,44.0481,-78.6756,,http://en.wikipedia.org/wiki/Mosport
49,montjuic,MontjuÌøc,Barcelona,Spain,11,,,3.791,41.3664,2.15167,,http://en.wikipedia.org/wiki/Montju%C3%AFc_circuit
50,nivelles,Nivelles-Baulers,Brussels,Belgium,7,,,3.724,50.6211,4.32694,,http://en.wikipedia.org/wiki/Nivelles-Baulers
51,charade,Charade Circuit,Clermont-Ferrand,France,18,,,8.055,45.7472,3.03889,,http://en.wikipedia.org/wiki/Charade_Circuit
52,tremblant,Circuit Mont-Tremblant,Quebec,Canada,15,,,4.265,46.1877,-74.6099,,http://en.wikipedia.org/wiki/Circuit_Mont-Tremblant
53,essarts,Rouen-Les-Essarts,Rouen,France,13,,,6.542,49.3306,1.00458,,http://en.wikipedia.org/wiki/Rouen-Les-Essarts
54,lemans,Le Mans,Le Mans,France,8,,,4.43,47.95,0.224231,,http://en.wikipedia.org/wiki/Circuit_de_la_Sarthe#Bugatti_Circuit
55,reims,Reims-Gueux,Reims,France,7,,,8.302,49.2542,3.93083,,http://en.wikipedia.org/wiki/Reims-Gueux
56,george,Prince George Circuit,Eastern Cape Province,South Africa,8,,,3.92,-33.0486,27.8736,,http://en.wikipedia.org/wiki/Prince_George_Circuit
57,zeltweg,Zeltweg,Styria,Austria,4,,,3.186,47.2039,14.7478,,http://en.wikipedia.org/wiki/Zeltweg_Airfield
58,aintree,Aintree,Liverpool,UK,8,,,4.828,53.4769,-2.94056,,http://en.wikipedia.org/wiki/Aintree_Motor_Racing_Circuit
59,boavista,Circuito da Boavista,Oporto,Portugal,12,,,7.775,41.1705,-8.67325,,http://en.wikipedia.org/wiki/Circuito_da_Boavista
60,riverside,Riverside International Raceway,California,USA,9,,,5.271,33.937,-117.273,,http://en.wikipedia.org/wiki/Riverside_International_Raceway
61,avus,AVUS,Berlin,Germany,4,,,8.3,52.4806,13.2514,,http://en.wikipedia.org/wiki/AVUS
62,monsanto,Monsanto Park Circuit,Lisbon,Portugal,9,,,5.44,38.7197,-9.20306,,http://en.wikipedia.org/wiki/Monsanto_Park_Circuit
63,sebring,Sebring International Raceway,Florida,USA,17,,,8.356,27.4547,-81.3483,,http://en.wikipedia.org/wiki/Sebring_Raceway
64,ain-diab,Ain Diab,Casablanca,Morocco,18,,,7.618,33.5786,-7.6875,,http://en.wikipedia.org/wiki/Ain-Diab_Circuit
65,pescara,Pescara Circuit,Pescara,Italy,16,,,25.8,42.475,14.1508,,http://en.wikipedia.org/wiki/Pescara_Circuit
66,bremgarten,Circuit Bremgarten,Bern,Switzerland,13,,,7.208,46.9589,7.40194,,http://en.wikipedia.org/wiki/Circuit_Bremgarten
67,pedralbes,Circuit de Pedralbes,Barcelona,Spain,6,,,6.316,41.3903,2.11667,,http://en.wikipedia.org/wiki/Pedralbes_Circuit
68,buddh,Buddh International Circuit,Uttar Pradesh,India,16,,,5.141,28.3487,77.5331,,http://en.wikipedia.org/wiki/Buddh_International_Circuit
69,americas,Circuit of the Americas,Austin,USA,20,30.9,157.4,5.513,30.1328,-97.6411,,http://en.wikipedia.org/wiki/Circuit_of_the_Americas
70,red_bull_ring,Red Bull Ring,Spielburg,Austria,10,,,4.318,47.2197,14.7647,,http://en.wikipedia.org/wiki/Red_Bull_Ring
71,sochi,Sochi Autodrom,Sochi,Russia,18,1.9,23.3,5.848,43.4057,39.9578,,http://en.wikipedia.org/wiki/Sochi_Autodrom
72,port_imperial,Port Imperial Street Circuit,New Jersey,USA,19,,,5.15,40.7769,-74.0111,,http://en.wikipedia.org/wiki/Port_Imperial_Street_Circuit
73,BAK,Baku City Circuit,Baku,Azerbaijan,20,26.8,2.1,6.003,40.3725,49.8533,,http://en.wikipedia.org/wiki/Baku_City_Circuit
,,,,,,26.37777778,314.2555556,5.334242857,,,,
